#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.05,0.00
1,1000,1.04,0.96
2,1000,1.05,1.90
4,1000,1.05,3.80
8,1000,1.04,7.66
16,1000,1.05,15.30
32,1000,1.06,30.08
64,1000,1.18,54.02
128,1000,1.23,103.85
256,1000,1.46,174.77
512,1000,1.54,333.15
1024,1000,1.69,606.79
2048,1000,2.28,898.97
4096,1000,3.03,1349.63
8192,1000,3.90,2099.15
16384,1000,5.62,2914.19
32768,1000,9.41,3481.22
65536,640,12.60,5200.13
131072,320,21.14,6200.19
262144,160,32.03,8185.51
524288,80,54.14,9684.75
1048576,40,97.49,10755.35
2097152,20,182.07,11518.33
4194304,10,353.90,11851.50
