#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.57,0.00
1,1000,0.53,1.89
2,1000,0.51,3.96
4,1000,0.50,7.94
8,1000,0.50,16.07
16,1000,0.51,31.18
32,1000,0.52,61.05
64,1000,0.47,134.81
128,1000,0.62,205.40
256,1000,0.50,510.17
512,1000,0.79,644.67
1024,1000,0.78,1314.26
2048,1000,0.88,2314.49
4096,1000,1.14,3582.79
8192,1000,1.52,5399.86
16384,1000,2.32,7061.47
32768,1000,3.39,9656.92
65536,640,5.61,11685.81
131072,320,8.61,15229.76
262144,160,14.75,17770.50
524288,80,41.09,12758.29
1048576,40,81.02,12941.59
2097152,20,155.12,13519.13
4194304,10,382.85,10955.45
