#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.18,0.00
1,1000,7.74,0.13
2,1000,7.71,0.26
4,1000,7.68,0.52
8,1000,7.72,1.04
16,1000,7.71,2.08
32,1000,7.80,4.10
64,1000,7.72,8.29
128,1000,7.85,16.30
256,1000,7.85,32.60
512,1000,10.20,50.20
1024,1000,10.44,98.08
2048,1000,12.51,163.72
4096,1000,13.32,307.46
8192,1000,15.04,544.75
16384,1000,24.99,655.59
32768,1000,33.71,972.05
65536,640,57.87,1132.38
131072,320,108.61,1206.83
262144,160,142.26,1842.65
524288,80,216.93,2416.82
1048576,40,361.26,2902.58
2097152,20,659.77,3178.62
4194304,10,1271.91,3297.65
