#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.67,0.00
1,1000,0.70,1.43
2,1000,0.72,2.80
4,1000,0.70,5.75
8,1000,0.68,11.73
16,1000,0.67,23.86
32,1000,0.68,46.89
64,1000,0.71,89.80
128,1000,0.79,162.19
256,1000,0.70,366.71
512,1000,1.15,446.12
1024,1000,1.25,817.53
2048,1000,1.34,1530.49
4096,1000,1.76,2329.14
8192,1000,2.26,3622.33
16384,1000,3.17,5169.53
32768,1000,5.36,6114.44
65536,640,9.31,7040.49
131072,320,18.13,7230.51
262144,160,35.18,7451.36
524288,80,84.68,6191.13
1048576,40,171.12,6127.64
2097152,20,338.17,6201.51
4194304,10,673.06,6231.65
