#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.37
2,1000,0.23,8.72
4,1000,0.23,17.47
8,1000,0.23,34.73
16,1000,0.23,70.03
32,1000,0.25,130.20
64,1000,0.25,257.24
128,1000,0.26,489.89
256,1000,0.28,902.39
512,1000,0.42,1217.72
1024,1000,0.44,2315.70
2048,1000,0.60,3428.67
4096,1000,0.85,4805.98
8192,1000,1.41,5791.90
16384,1000,2.33,7031.27
32768,1000,3.50,9348.98
65536,640,5.70,11494.40
131072,320,8.63,15184.76
262144,160,14.95,17539.68
524288,80,40.28,13015.30
1048576,40,80.62,13005.61
2097152,20,153.45,13666.42
4194304,10,374.69,11194.18
