#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.33
2,1000,0.43,4.61
4,1000,0.43,9.27
8,1000,0.43,18.44
16,1000,0.43,36.97
32,1000,0.47,67.61
64,1000,0.47,135.66
128,1000,0.58,222.42
256,1000,0.62,414.82
512,1000,0.79,647.06
1024,1000,0.87,1171.95
2048,1000,1.03,1995.90
4096,1000,1.42,2893.14
8192,1000,1.93,4236.13
16384,1000,3.36,4873.97
32768,1000,5.08,6456.70
65536,640,9.29,7054.40
131072,320,17.94,7308.10
262144,160,34.68,7559.95
524288,80,83.03,6314.24
1048576,40,169.75,6177.20
2097152,20,337.66,6210.82
4194304,10,668.40,6275.18
