#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.88
2,1000,0.19,10.52
4,1000,0.19,21.01
8,1000,0.19,41.51
16,1000,0.19,83.50
32,1000,0.23,140.23
64,1000,0.22,285.02
128,1000,0.32,404.03
256,1000,0.34,757.47
512,1000,0.37,1374.82
1024,1000,0.48,2112.49
2048,1000,0.74,2750.66
4096,1000,1.11,3683.25
8192,1000,1.88,4364.68
16384,1000,3.03,5413.72
32768,1000,4.75,6892.67
65536,640,8.19,8000.47
131072,320,14.58,8987.62
262144,160,13.19,19880.88
524288,80,26.84,19537.42
1048576,40,59.07,17752.05
2097152,20,148.46,14125.78
4194304,10,315.74,13283.87
