#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,2.01
4,1000,0.99,4.04
8,1000,0.98,8.17
16,1000,0.98,16.29
32,1000,1.00,32.00
64,1000,1.16,55.17
128,1000,1.20,106.45
256,1000,1.44,178.05
512,1000,1.50,341.90
1024,1000,1.65,621.77
2048,1000,2.32,884.04
4096,1000,3.19,1283.34
8192,1000,4.47,1833.52
16384,1000,6.26,2616.65
32768,1000,8.47,3868.81
65536,640,12.37,5299.63
131072,320,18.59,7049.12
262144,160,32.63,8033.06
524288,80,54.06,9698.87
1048576,40,97.16,10792.09
2097152,20,182.19,11510.96
4194304,10,352.76,11889.92
