#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.39,0.00
1,1000,0.40,2.50
2,1000,0.39,5.08
4,1000,0.40,9.93
8,1000,0.39,20.35
16,1000,0.40,40.46
32,1000,0.56,56.70
64,1000,0.56,114.08
128,1000,0.91,139.93
256,1000,0.94,273.16
512,1000,1.15,446.10
1024,1000,1.31,780.09
2048,1000,2.11,971.34
4096,1000,3.02,1357.33
8192,1000,4.84,1694.16
16384,1000,7.28,2251.56
32768,1000,12.84,2551.27
65536,640,23.46,2793.06
131072,320,41.59,3151.64
262144,160,13.29,19722.12
524288,80,24.11,21749.00
1048576,40,55.97,18733.22
2097152,20,139.76,15005.89
4194304,10,297.49,14099.04
