#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.33,0.00
1,1000,5.41,0.18
2,1000,5.41,0.37
4,1000,5.40,0.74
8,1000,5.42,1.48
16,1000,5.40,2.96
32,1000,5.42,5.90
64,1000,5.42,11.81
128,1000,5.52,23.20
256,1000,5.56,46.00
512,1000,5.63,90.88
1024,1000,6.27,163.32
2048,1000,6.03,339.81
4096,1000,7.14,573.35
8192,1000,7.52,1090.00
16384,1000,9.85,1663.36
32768,1000,15.76,2079.05
65536,640,29.65,2210.28
131072,320,39.70,3301.37
262144,160,54.98,4767.86
524288,80,87.38,6000.06
1048576,40,150.47,6968.62
2097152,20,289.23,7250.72
4194304,10,586.74,7148.45
