#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.37,0.00
1,1000,16.52,0.06
2,1000,16.45,0.12
4,1000,16.40,0.24
8,1000,16.38,0.49
16,1000,16.45,0.97
32,1000,16.55,1.93
64,1000,16.65,3.84
128,1000,16.95,7.55
256,1000,17.00,15.06
512,1000,17.67,28.98
1024,1000,17.95,57.04
2048,1000,39.71,51.58
4096,1000,39.92,102.59
8192,1000,41.11,199.28
16384,1000,43.17,379.53
32768,1000,55.22,593.40
65536,640,149.93,437.10
131072,320,156.42,837.93
262144,160,204.71,1280.57
524288,80,309.01,1696.65
1048576,40,503.09,2084.27
2097152,20,901.74,2325.68
4194304,10,1752.87,2392.82
