#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.59
2,1000,0.28,7.23
4,1000,0.28,14.50
8,1000,0.28,29.04
16,1000,0.31,51.46
32,1000,0.31,104.24
64,1000,0.34,187.34
128,1000,0.40,317.22
256,1000,0.42,610.30
512,1000,0.61,845.81
1024,1000,0.75,1362.12
2048,1000,0.84,2440.57
4096,1000,1.78,2300.37
8192,1000,2.16,3792.50
16384,1000,2.69,6094.71
32768,1000,3.90,8399.62
65536,640,5.31,12345.40
131072,320,10.63,12325.18
262144,160,19.22,13636.43
524288,80,39.44,13292.00
1048576,40,95.15,11020.74
2097152,20,217.57,9638.94
4194304,10,468.64,8949.89
