#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.53,0.00
1,1000,0.61,1.63
2,1000,0.61,3.26
4,1000,0.63,6.39
8,1000,0.61,13.07
16,1000,0.66,24.17
32,1000,0.73,43.66
64,1000,0.82,78.34
128,1000,1.06,120.89
256,1000,1.15,222.08
512,1000,1.23,415.75
1024,1000,1.37,747.65
2048,1000,1.90,1080.34
4096,1000,2.70,1517.84
8192,1000,3.45,2373.32
16384,1000,3.61,4532.83
32768,1000,4.95,6613.57
65536,640,6.26,10468.22
131072,320,11.41,11490.04
262144,160,20.09,13048.50
524288,80,39.89,13142.66
1048576,40,95.71,10955.59
2097152,20,209.53,10009.03
4194304,10,409.30,10247.61
